"country","country_name","iso_name","lat_center","long_center","year","gdp_pps","unemployment","sucide_rate_total","sucide_rate_female","sucide_rate_male","sucide_rate_total_growth"
"Norway","Norway","NOR",60.472024,8.468946,2011,180,2.9,12.49,6.85,18.44,NA
"Norway","Norway","NOR",60.472024,8.468946,2012,188,2.8,10.62,6.01,15.38,-15
"Norway","Norway","NOR",60.472024,8.468946,2013,186,3,11.25,7.18,15.45,5.9
"Norway","Norway","NOR",60.472024,8.468946,2014,178,3.3,10.97,5.83,16.3,-2.5
"Norway","Norway","NOR",60.472024,8.468946,2015,158,4,11.71,7.53,15.95,6.7
"Switzerland","Switzerland","CHE",46.818188,8.227512,2011,169,4.3,13.23,6.85,20.76,NA
"Switzerland","Switzerland","CHE",46.818188,8.227512,2012,172,4.4,13.2,6.93,20.55,-0.2
"Switzerland","Switzerland","CHE",46.818188,8.227512,2013,173,4.6,13.35,6.94,21,1.1
"Switzerland","Switzerland","CHE",46.818188,8.227512,2014,173,4.8,12.77,6.61,19.89,-4.3
"Switzerland","Switzerland","CHE",46.818188,8.227512,2015,173,4.7,12.96,6.54,20.34,1.5
"United Kingdom","UK","GBR",55.378051,-3.435973,2011,108,NA,6.71,2.8,10.84,NA
"United Kingdom","UK","GBR",55.378051,-3.435973,2012,110,NA,7.22,2.91,11.8,7.6
"United Kingdom","UK","GBR",55.378051,-3.435973,2013,111,NA,7.36,2.98,11.97,1.9
"United Kingdom","UK","GBR",55.378051,-3.435973,2014,111,NA,7.08,3.17,11.24,-3.8
"United Kingdom","UK","GBR",55.378051,-3.435973,2015,111,NA,7.36,3.41,11.53,4
"Turkey","Turkey","TUR",38.963745,35.243322,2011,57,8.6,1.78,0.83,2.87,NA
"Turkey","Turkey","TUR",38.963745,35.243322,2012,59,8,2.19,1.1,3.4,23
"Turkey","Turkey","TUR",38.963745,35.243322,2013,62,8.6,2.82,1.34,4.49,28.8
"Turkey","Turkey","TUR",38.963745,35.243322,2014,65,9.7,2.4,1.17,3.77,-14.9
"Turkey","Turkey","TUR",38.963745,35.243322,2015,68,10,2.18,1.01,3.48,-9.2
